"Id";"代号";"封装";"数量";"名称";"供应商和REF";
1;"C2,C2";"Cpol-6.3x7.7";2;"220uF";;;
2;"R14,R13";"0603";2;"560R";;;
3;"D5";"0603";1;"COMMS";;;
4;"IC1";"SO8E";1;"MAX4173H";;;
5;"C4,C6,C5,C1,C15";"SM0603_Capa";5;"0.1uF";;;
6;"R3";"SM0603";1;"560R";;;
7;"R2";"SM0603";1;"10k";;;
8;"R9";"SM0603";1;"4K7";;;
9;"R10";"SM0603";1;"220R";;;
10;"R7";"R7";1;"0.005R";;;
11;"D1";"SOD128";1;"D_Schottky";;;
12;"D2";"Mini-MELF-SOD80";1;"LL4148 (1N4148)";;;
13;"IC3";"DIP-8-SO8E";1;"IR2104";;;
14;"1PIN,1PIN,1PIN,1PIN";"1pin";4;"";;;
15;"R12";"0603";1;"10k";;;
16;"RX1";"JST_PH_S2B-PH-K_02x2.00mm_Angled";1;"Receive";;;
17;"TX1";"JST_PH_S2B-PH-K_02x2.00mm_Angled";1;"Transmit";;;
18;"U1";"SOP-4_4.4x2.8mm_Pitch1.27mm";1;"HMHA2801";;;
19;"J2";"PIN16";1;"Left";;;
20;"J3";"PIN16";1;"Right";;;
21;"J1";"1210";1;"SOLAR_INPUT";;;
22;"J4";"1210";1;"BATTERY_OUTPUT";;;
23;"C10";"0603";1;"0.1uF";;;
24;"J7";"1210";1;"SOLAR_OUTPUT";;;
25;"J6";"1210";1;"in";;;
26;"C3";"Cpol-6.3x7.7";1;"100uF";;;
27;"L2";"7447779139";1;"33uH";;;
28;"Q2,Q3";"SOT-223";2;"IRFIZ44N";;;
